"id","cluster"
"9","LTB"
"9","LYN"
"9","MBP"
"9","MYD88"
"9","NFKB1"
"9","PNP"
"9","PCBP2"
"9","IRAK4"
"9","IL23A"
"9","PLCG2"
"9","RNF125"
"9","POLR3E"
"9","PRKCD"
"9","PRKCQ"
"9","STARD7"
"9","PTPN6"
"9","REL"
"9","TRIM27"
"9","RPS3"
"9","GPSM3"
"9","BST2"
"9","SYK"
"9","TRAF6"
"9","NFATC2IP"
"9","TNFRSF14"
"9","RPS6KA5"
"9","AIM2"
"9","CD74"
"Removed","IGF2BP1"
"Removed","IGF2BP3"
"Removed","CTNNB1"
"Removed","MAST2"
"Removed","TRAF3IP1"
"Removed","ISL1"
"Removed","ATP2B1"
"Removed","APPL2"
"Removed","ROCK2"
"Removed","ZFPM1"
"Removed","PLD3"
"Removed","PTPRS"
"Removed","CHID1"
"Removed","HOMER2"
"Removed","SPON2"
"Removed","ERMAP"
"Removed","IL17RA"
"Removed","IL6R"
"Removed","MAVS"
"Removed","TMF1"
"Removed","NLRX1"
"Removed","RNF135"
"Removed","TICAM1"
"Removed","ABCD1"
"Removed","IRAK1"
"Removed","MAP2K3"
"Removed","RELA"
"Removed","PPP1R11"
"Removed","RIPK1"
"Removed","MAPKAPK2"
"Removed","DDIT3"
"Removed","RIOK3"
"Removed","ARFGEF2"
"Removed","DLG1"
"Removed","GATA3"
"Removed","ADAM17"
"Removed","SLC7A5"
"Removed","ITCH"
"Removed","AFAP1L2"
"Removed","HPSE"
"Removed","RGCC"
"Removed","GSTP1"
"Removed","HERC5"
"Removed","EIF2AK2"
"Removed","G3BP1"
"Removed","GLMN"
"Removed","CHUK"
"Removed","DDX3X"
"Removed","HDAC2"
"Removed","POLR3B"
"Removed","PTPN11"
"Removed","AGPAT1"
"Removed","SYT11"
"Removed","PLCB1"
"Removed","CADM1"
"Removed","TRIB2"
"Removed","KIT"
"Removed","ZNF580"
"Removed","IL17D"
"Removed","TGFB3"
"Removed","POLR3F"
"Removed","FOXP1"
"Removed","PDE4B"
"Removed","ASB1"
"Removed","GPAM"
"Removed","AZI2"
"Removed","C5"
